ris rrc13 update 1446789125 valid A 193.232.244.136 39792 {'next-hop': '193.232.244.136', 'prefix': '1.4.192.0/18', 'as-path': '39792 9498'}
ris rrc13 update 1446789125 valid A 193.232.244.136 39792 {'next-hop': '193.232.244.136', 'prefix': '1.4.128.0/17', 'as-path': '39792 9498'}
ris rrc01 update 1446789125 valid A 195.66.224.175 13030 {'next-hop': '195.66.224.175', 'prefix': '1.9.177.0/24', 'as-path': '13030 9498'}
ris rrc13 update 1446789125 valid A 193.232.244.136 39792 {'next-hop': '193.232.244.136', 'prefix': '1.9.0.0/16', 'as-path': '39792 9498'}
ris rrc03 update 1446789125 valid A 80.249.208.34 1103 {'next-hop': '80.249.211.191', 'prefix': '1.9.0.0/16', 'as-path': '1103 9498'}
ris rrc12 update 1446789125 valid A 80.81.192.74 13237 {'next-hop': '80.81.192.74', 'prefix': '1.9.0.0/16', 'as-path': '13237 9498'}
ris rrc13 update 1446789125 valid A 193.232.244.136 39792 {'next-hop': '193.232.244.136', 'prefix': '1.9.177.0/24', 'as-path': '39792 9498'}
routeviews route-views3 update 1446789125 valid A 216.218.252.164 6939 {'next-hop': '216.218.252.164', 'prefix': '1.9.0.0/16', 'as-path': '6939 9498'}
routeviews route-views3 update 1446789125 valid A 216.218.252.164 6939 {'next-hop': '216.218.252.164', 'prefix': '1.9.177.0/24', 'as-path': '6939 9498'}
ris rrc12 update 1446789125 valid A 80.81.194.140 25220 {'next-hop': '80.81.194.140', 'prefix': '1.9.0.0/16', 'as-path': '25220 9498'}
routeviews route-views.saopaulo update 1446789125 valid A 187.16.218.57 28294 {'next-hop': '187.16.218.57', 'prefix': '1.4.128.0/17', 'as-path': '28294 12989 9498'}
routeviews route-views.saopaulo update 1446789125 valid A 187.16.218.57 28294 {'next-hop': '187.16.218.57', 'prefix': '1.4.192.0/18', 'as-path': '28294 12989 9498'}
routeviews route-views.saopaulo update 1446789125 valid A 187.16.218.57 28294 {'next-hop': '187.16.218.57', 'prefix': '1.4.192.0/19', 'as-path': '28294 12989 9498'}
ris rrc01 update 1446789125 valid A 195.66.226.20 56730 {'next-hop': '195.66.226.20', 'prefix': '1.9.0.0/16', 'as-path': '56730 51945 39326 9498'}
ris rrc03 update 1446789125 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '1.4.128.0/17', 'as-path': '8283 5580 9498'}
ris rrc03 update 1446789125 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '1.4.192.0/18', 'as-path': '8283 5580 9498'}
ris rrc03 update 1446789125 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '1.4.192.0/19', 'as-path': '8283 5580 9498'}
routeviews route-views4 update 1446789125 valid A 38.122.147.130 38880 {'next-hop': '38.122.147.130', 'prefix': '1.4.128.0/17', 'as-path': '38880 9498'}
routeviews route-views4 update 1446789125 valid A 38.122.147.130 38880 {'next-hop': '38.122.147.130', 'prefix': '1.4.192.0/19', 'as-path': '38880 9498'}
routeviews route-views4 update 1446789125 valid A 38.122.147.130 38880 {'next-hop': '38.122.147.130', 'prefix': '1.4.192.0/18', 'as-path': '38880 9498'}
routeviews route-views4 update 1446789125 valid A 38.122.147.130 38880 {'next-hop': '38.122.147.130', 'prefix': '1.9.0.0/16', 'as-path': '38880 9498'}
ris rrc11 update 1446789125 valid A 198.32.160.170 62567 {'next-hop': '198.32.160.223', 'prefix': '1.4.192.0/18', 'as-path': '62567 9498'}
ris rrc11 update 1446789125 valid A 198.32.160.170 62567 {'next-hop': '198.32.160.223', 'prefix': '1.4.192.0/19', 'as-path': '62567 9498'}
